;Asunción;Augusto Weberbauer;Cachachi;Celendín;Cospán;Granja Porcón;Hacienda Llagadén;Jesús Túnel;Llapa;Magdalena;Matara;Namora;Quilcate;San Juan;Sayapullo
1/06/1983;0;10.1;2.5;;14.6;;0;;30.4;16.4;4.8;32.7;8.2;5.8;106.5
1/07/1983;0;9.6;0;;3.9;;0;;6.2;0;0;7.5;17.5;0;15.9
1/08/1983;0;2.7;0;;0;;0;;0;0;7;15;11.5;0;0
1/09/1983;0;19.2;0;;53.1;;0;;69.8;9.7;12.3;0;7;0;57.8
1/10/1983;2;86.9;4.2;;157.1;;0;;82.4;8.3;93.4;101.1;40.7;0;16.7
1/11/1983;9;28.1;9;;58.2;;0;;57.4;11.1;69.9;28.6;48.3;0;5
1/12/1983;29;118.4;42.2;;136.1;;126.8;;156.4;121.6;34.7;37.1;71;96.8;3.1
1/01/1984;5;24.7;0;;75;0;36.9;;56.4;14.3;125.6;9.8;28.1;52.6;253.4
1/02/1984;135;233.6;407.3;;595.7;;107.9;;380.8;291.6;142;225.5;183.9;318.5;1010.7
1/03/1984;110;123.8;131.8;;175.8;;0;;238.9;33;204.8;75.6;86.2;182.8;554.9
1/04/1984;74;80;95.7;;128;134;0;;119.3;63.9;106.3;93.9;127.2;56.4;649.5
1/05/1984;29;69.5;49.4;;43.6;0;0;;110;100.8;106.6;38.6;41.3;59.3;44.4
1/06/1984;17;25.1;2.5;;24;0;9.8;;40.7;0;5.6;9.7;21.6;16.2;1.5
1/07/1984;3;23.4;0;;35.8;60;5.4;;62.8;0;9;14.9;5;8.5;0
1/08/1984;;18.7;2.5;;2.4;;0;;10.2;8.5;2.7;16.6;37.4;0;0
1/09/1984;;36.7;2;;11.8;;37.9;;30.6;;17.2;0;56.7;0;100.2
1/10/1984;;68.6;93.5;;106.9;;53.5;;170.9;;30.9;155.1;32.9;35.9;0
1/11/1984;;97.6;111.5;;89.2;;48.8;;71.9;;34.9;82.9;36.3;0;89.3
1/12/1984;;104.1;77.8;;76.5;;19.6;;48.4;;38.9;43.9;43.5;38.4;119.8
1/01/1985;;24.6;2;;42.5;;17.8;;35.1;;22.2;24.9;70.2;33.6;194.9
1/02/1985;;42.4;0;;110.2;;73;;93.6;;32.1;46.9;34.8;65.5;45.9
1/03/1985;;37.2;15.4;;64.4;;51.6;;73;;36.8;48.5;43.1;20.7;448.2
1/04/1985;;41.9;2;;10.6;;0;;82.8;;64.3;192.3;9.5;25;15.1
1/05/1985;;53;16.5;;27.6;;31;;39.1;;24.3;38.1;7;15.1;0
1/06/1985;;0.4;0;;0;0;0;;4.8;;10.6;8.2;0;0;0
1/07/1985;;4.8;0;;0;0;0;;3.5;;1.4;51.1;15.3;0;0
1/08/1985;;18.3;0;;7.5;0;0;;21.5;;12.7;19.6;9;0;2.9
